      Lattice  Optimization  Initial_spin_angle    Qx    Qy  Ray  Spin_rotation_per_turn_(deg)  Max_|dθ|_element  vector      x0   y0     d0
--------------------------------------------------------------------------------------------------------------------------------------------
ELECTROSTATIC            BC                   0  0.12  0.72  Ref         5.054120298458375e-05               185     Ref     nan  nan    nan
ELECTROSTATIC            BC                   0  0.12  0.72    2         -0.001800480337407072                 1       2   0.001  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    3        -0.0027371660655766284                 1       3  0.0015  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    4        -0.0036812973810407996                 1       4   0.002  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    5           -0.0046328708463298                 1       5  0.0025  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    6         -0.005591883596944033                 1       6   0.003  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    7         -0.006558332768396551                 1       7  0.0035  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    8         -0.007532212058466457                 1       8   0.004  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72    9          -0.00851352261339729                 1       9  0.0045  0.0    0.0
ELECTROSTATIC            BC                   0  0.12  0.72   10           -0.2874586008367101               486      10     0.0  0.0  0.001


================================================================================
Contribution of element types to spin rotation
================================================================================


Ray 1
Element  Count         Total_rotation     Total_abs_rotation       Mean_abs_rotation       Max_abs_rotation
    Lds     10    -0.013448430326717487     0.10436362931525699    0.010436362931525698    0.016133179011156542
    Lfs     10     0.007834243228048227     0.04974271268678664    0.004974271268678664     0.00726374286205616
     R1     50    5.114341421705025e-05   0.0005402178774199838  1.0804357548399678e-05   1.967536932349391e-05
    SFN      5   -0.0002548103669942894   0.0002548103669942894   5.096207339885788e-05   9.176491653115591e-05
    SDP     10   0.00020209309616869603  0.00020209309616869603  2.0209309616869604e-05  4.0920644827987726e-05
    SFP     10   -0.0001459529697917278   0.0001459529697917278   1.459529697917278e-05   3.179342596865142e-05
    OD1    120                      0.0                     0.0                     0.0                     0.0
    BPM     35                      0.0                     0.0                     0.0                     0.0
   OSFP     30                      0.0                     0.0                     0.0                     0.0
   OSDP     30                      0.0                     0.0                     0.0                     0.0
    OR1     10                      0.0                     0.0                     0.0                     0.0
    OD2    120                      0.0                     0.0                     0.0                     0.0


Ray 7
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     Ld     50    0.0005609311304485796      0.5067294388065036    0.010134588776130072    0.017375888766167042
     Lf     50   -0.0003319468415425046     0.26155140643784464    0.005231028128756893    0.009000558283011464
    Lds     10     -0.01571677260407454     0.12174812518110188    0.012174812518110189    0.018822042927326366
    Lfs     10     0.009148426866844639     0.05802763026810971    0.005802763026810971    0.008473531178519397
     R1     50    5.133013934303335e-05   0.0006294812026281079  1.2589624052562156e-05  2.2780799795663748e-05
    SFN      5  -0.00034673112573147934  0.00034673112573147934   6.934622514629586e-05  0.00012486468496899876
    SDP     10   0.00027501973553592605  0.00027501973553592605  2.7501973553592604e-05   5.570868475261899e-05
    SFP     10  -0.00019859002625617454  0.00019859002625617454  1.9859002625617454e-05  4.3258309665124284e-05
    OD1    120                      0.0                     0.0                     0.0                     0.0
    BPM     35                      0.0                     0.0                     0.0                     0.0
   OSFP     30                      0.0                     0.0                     0.0                     0.0
   OSDP     30                      0.0                     0.0                     0.0                     0.0
    OR1     10                      0.0                     0.0                     0.0                     0.0
    OD2    120                      0.0                     0.0                     0.0                     0.0


Ray 8
Element  Count           Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
---------------------------------------------------------------------------------------------------------------
     Ld     50     0.000728845750128642      0.5790669387972217    0.011581338775944434      0.0198563821883325
     Lf     50   -0.0004318980212622732      0.2988792933764343    0.005977585867528687    0.010285100343340561
    Lds     10    -0.017992805634680687     0.13912995254368793    0.013912995254368793     0.02151090514727171
    Lfs     10     0.010465002551986968     0.06631098267035965    0.006631098267035965    0.009683082851073143
     R1     50   5.1586482292104315e-05   0.0007187648687490164  1.4375297374980328e-05  2.5886232607564424e-05
    SFN      5  -0.00045276268570057683  0.00045276268570057683   9.055253714011537e-05   0.0001630523167951807
    SDP     10    0.0003591379588860793   0.0003591379588860793   3.591379588860793e-05   7.277136671403339e-05
    SFP     10  -0.00025931839502998846  0.00025931839502998846  2.5931839502998845e-05   5.649363763790549e-05
    OD1    120                      0.0                     0.0                     0.0                     0.0
    BPM     35                      0.0                     0.0                     0.0                     0.0
   OSFP     30                      0.0                     0.0                     0.0                     0.0
   OSDP     30                      0.0                     0.0                     0.0                     0.0
    OR1     10                      0.0                     0.0                     0.0                     0.0
    OD2    120                      0.0                     0.0                     0.0                     0.0


Ray 9
Element  Count          Total_rotation     Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
-------------------------------------------------------------------------------------------------------------
     Ld     50   0.0009186736183279115     0.6513914313732936    0.013027828627465871    0.022336438963856793
     Lf     50   -0.000544931855365749     0.3361981254994529    0.006723962509989058    0.011569333553164484
    Lds     10   -0.020276528054996783    0.15650910911337662    0.015650910911337662    0.024199767272466765
    Lfs     10    0.011783994697318311    0.07459280051621421    0.007459280051621421    0.010892395012971234
     R1     50   5.184093262478967e-05  0.0008080260142668148  1.6160520285336296e-05  2.8997392436523606e-05
    SFN      5  -0.0005728775439030297  0.0005728775439030297  0.00011457550878060594  0.00020631062270478132
    SDP     10   0.0004544449033801307  0.0004544449033801307   4.544449033801307e-05   9.211442016486375e-05
    SFP     10  -0.0003281392167991644  0.0003281392167991644   3.281392167991644e-05   7.149367021411224e-05
    OD1    120                     0.0                    0.0                     0.0                     0.0
    BPM     35                     0.0                    0.0                     0.0                     0.0
   OSFP     30                     0.0                    0.0                     0.0                     0.0
   OSDP     30                     0.0                    0.0                     0.0                     0.0
    OR1     10                     0.0                    0.0                     0.0                     0.0
    OD2    120                     0.0                    0.0                     0.0                     0.0


Ray 10
Element  Count          Total_rotation      Total_abs_rotation       Mean_abs_rotation        Max_abs_rotation
--------------------------------------------------------------------------------------------------------------
     Ld     50      -0.650872069033401      0.6508720690334009    0.013017441380668017    0.026968335629616924
     Lf     50     0.35793987931372756     0.35796634970138763    0.007159326994027753    0.013136530195732748
     R1     50    0.007119733795045679    0.007119733795045678  0.00014239467590091356  0.00015832995794148874
    SFN      5  -0.0022252735295741942   0.0022252735295741942  0.00044505470591483886  0.00044638777419953035
    SDP     10   0.0013922519091605495   0.0013922519091605495  0.00013922519091605495  0.00015068670084619762
    Lds     10  -0.0005711225622629448   0.0005711225622629448  5.7112256226294486e-05    0.000122154353732154
    SFP     10   -0.000434059833115087    0.000434059833115087    4.34059833115087e-05  4.6351996614540925e-05
    Lfs     10  0.00019205496864264926  0.00021508764303716787  2.1508764303716787e-05  4.7956348813354976e-05
    OD1    120                     0.0                     0.0                     0.0                     0.0
    BPM     35                     0.0                     0.0                     0.0                     0.0
   OSFP     30                     0.0                     0.0                     0.0                     0.0
   OSDP     30                     0.0                     0.0                     0.0                     0.0
    OR1     10                     0.0                     0.0                     0.0                     0.0
    OD2    120                     0.0                     0.0                     0.0                     0.0
